"id";"make";"model";"year";"price";"image";"description";"use";"seats";"transmission";"safety"
224;"Audi";"S5";2018;35000;"https://via.placeholder.com/300x200.png?text=Audi%20S5";"This used Audi S5 is a high-performance coupe that provides a luxurious driving experience.";"Fun daily driving";"Four-seater";"Automatic";"As safe as possible"
225;"Ducati";"Panigale V4";2019;20000;"https://via.placeholder.com/300x200.png?text=Ducati%20Panigale%20V4";"This pre-owned Ducati Panigale V4 is a powerful and exhilarating sportbike.";"Fun daily driving";"Two-seater";"Manual";"Motorcycle"
226;"Chevrolet";"Camaro";2017;25000;"https://via.placeholder.com/300x200.png?text=Chevrolet%20Camaro";"This used Chevrolet Camaro is a classic American muscle car that provides a thrilling driving experience.";"Fun daily driving";"Four-seater";"Manual";"As safe as possible"
227;"Harley-Davidson";"Street Glide";2015;15000;"https://via.placeholder.com/300x200.png?text=Harley-Davidson%20Street%20Glide";"This pre-owned Harley-Davidson Street Glide is a comfortable and reliable touring motorcycle.";"Confortable daily driving";"Two-seater";"Manual";"Motorcycle"
228;"Ford";"F-150";2019;40000;"https://via.placeholder.com/300x200.png?text=Ford%20F-150";"This used Ford F-150 is a versatile and rugged pickup truck that is perfect for work or play.";"Confortable daily driving";"Four-seater";"Automatic";"As safe as possible"
229;"Kawasaki";"Ninja H2";2018;25000;"https://via.placeholder.com/300x200.png?text=Kawasaki%20Ninja%20H2";"This pre-owned Kawasaki Ninja H2 is a high-performance sportbike that provides an adrenaline-fueled ride.";"Fun daily driving";"Two-seater";"Manual";"Motorcycle"
230;"BMW";"X3";2020;50000;"https://via.placeholder.com/300x200.png?text=BMW%20X3";"This pre-owned BMW X3 is a versatile and luxurious SUV that is perfect for families or adventurers.";"Confortable daily driving";"Four-seater";"Automatic";"As safe as possible"
231;"Indian";"Chief Vintage";2017;18000;"https://via.placeholder.com/300x200.png?text=Indian%20Chief%20Vintage";"This used Indian Chief Vintage is a stylish and comfortable cruiser motorcycle that is perfect for long rides.";"Confortable daily driving";"Two-seater";"Manual";"As safe as possible"
232;"Subaru";"WRX";2016;20000;"https://via.placeholder.com/300x200.png?text=Subaru%20WRX";"This used Subaru WRX is a high-performance sedan that provides a thrilling driving experience.";"Fun daily driving";"Four-seater";"Manual";"As safe as possible"
233;"Honda";"Civic";2016;12000;"https://via.placeholder.com/300x200.png?text=Honda%20Civic";"This used Honda Civic is a reliable and affordable option for daily driving.";"Confortable daily driving";"Four-seater";"Automatic";"As safe as possible"
234;"Toyota";"4Runner";2014;16000;"https://via.placeholder.com/300x200.png?text=Toyota%204Runner";"This used Toyota 4Runner is a rugged and spacious SUV that is great for off-roading.";"Fun side vehicle";"Seven-seater or more";"Automatic";"As safe as possible"
235;"Dodge";"Challenger";2015;20000;"https://via.placeholder.com/300x200.png?text=Dodge%20Challenger";"This used Dodge Challenger is a powerful and stylish muscle car that is great for weekend cruises.";"Fun daily driving";"Four-seater";"Manual";"Mediocre"
236;"Ford";"Mustang";2012;15000;"https://via.placeholder.com/300x200.png?text=Ford%20Mustang";"This used Ford Mustang is a classic and iconic sports car that is great for spirited driving.";"Fun daily driving";"Four-seater";"Manual";"As safe as possible"
237;"Jeep";"Wrangler";2010;12000;"https://via.placeholder.com/300x200.png?text=Jeep%20Wrangler";"This used Jeep Wrangler is a versatile and capable off-road vehicle that is perfect for adventure seekers.";"Fun side vehicle";"Four-seater";"Manual";"As safe as possible"
238;"BMW";"M3";2013;28000;"https://via.placeholder.com/300x200.png?text=BMW%20M3";"This used BMW M3 is a high-performance sports sedan that is great for driving enthusiasts.";"Fun daily driving";"Four-seater";"Automatic";"As safe as possible"
